Open,High,Low,Close,Volume_sum,ret_1q,vol_4q,max_drawdown_4q,ma4_ratio
36950,37150,27200,30700,9365786,-0.1657608695652174,0.1087235560977662,-0.1657608695652174,-0.0863095238095238
30250,30500,18750,19750,5602562,-0.3566775244299675,0.2026858110953548,-0.4633152173913043,-0.3500617030028794
19750,26350,18250,21200,8851491,0.0734177215189872,0.2081896807062865,-0.4239130434782608,-0.2180728446288612
21900,31600,21850,26350,16439243,0.2429245283018868,0.2636153165981075,-0.1416938110749185,0.0755102040816326
26800,41800,26450,40450,27003642,0.5351043643263758,0.372719247514552,0.0,0.5016241299303945
40500,62500,38800,55400,37834399,0.3695920889987638,0.1954512749256739,0.0,0.5453277545327755
55700,63900,43100,44050,26291017,-0.2048736462093863,0.3171368767184305,-0.2048736462093863,0.0598496240601504
43500,54200,37500,45300,20351921,0.0283768444948921,0.3332390363461613,-0.1823104693140794,-0.0215982721382289
8860,9550,7870,8480,30065573,-0.0230414746543778,0.4366064322793833,-0.0911039657020365,0.0717219589257502
8500,9310,7500,7790,14842512,-0.0813679245283018,0.4338148489198139,-0.165058949624866,-0.0910151691948658
7820,8860,6640,6840,15080592,-0.1219512195121951,0.0406986705713445,-0.2119815668202764,-0.1393519974834853
6820,6910,5790,6760,8115948,-0.0116959064327485,0.0516165851095924,-0.2028301886792453,-0.0947438901908269
6800,7400,6020,6750,7527463,-0.0014792899408283,0.0574873080216743,-0.1335044929396662,-0.0405117270788912
6730,6800,4535,5100,5615463,-0.2444444444444444,0.1136451485741506,-0.2543859649122807,-0.1984282907662082
5070,5900,4355,4540,3525731,-0.1098039215686275,0.1128405240274835,-0.3284023668639053,-0.2155507559395248
4585,6420,4320,5980,4694192,0.3171806167400881,0.2394745992013324,-0.1140740740740741,0.0692892266428251
5960,7100,5740,6800,9576808,0.1371237458193979,0.2508077964654368,0.0,0.2132024977698483
6810,7120,5820,6230,6460660,-0.0838235294117647,0.2012474741211726,-0.0838235294117647,0.0581740976645435
6280,6420,4980,5450,4040500,-0.1252006420545746,0.2058052940049693,-0.1985294117647058,-0.1087489779231398
5640,7040,5170,6780,4904157,0.2440366972477063,0.1766830421261769,-0.0029411764705882,0.0736342042755344
13250,17150,12950,15550,12757553,0.182509505703422,0.2193994016358911,0.0,0.0742659758203798
15400,20550,14100,16900,36731642,0.0868167202572347,0.124057045098592,0.0,0.118279569892473
16850,17200,12650,12850,9510568,-0.2396449704142011,0.1911231595127856,-0.2396449704142011,-0.1206159110350727
