stock_code,year,current_assets,current_liabilities,equity,capital,retained_earnings,net_working_capital,capital_impairment_ratio,is_capital_impaired,is_full_impairment,retained_earnings_deficit,audit_penalty_final,admin_designated,delisted,delisting_warning
192400,2017,173538802795.0,85748747117.0,2657947000.0,2657947000.0,997516646783.0,87790055678.0,0.0,0,0,0,0.0,0,0,0
192400,2018,247422137713.0,90079359689.0,3556218500.0,3556218500.0,1061129392843.0,157342778024.0,0.0,0,0,0,0.0,0,0,0
192400,2019,266983192496.0,94840122250.0,3556218500.0,3556218500.0,1121038178249.0,172143070246.0,0.0,0,0,0,0.0,0,0,0
192400,2020,326277403999.0,119438716323.0,3556218500.0,3556218500.0,1206871424622.0,206838687676.0,0.0,0,0,0,0.0,0,0,0
192400,2021,402208639474.0,136593425673.0,3556218500.0,3556218500.0,1331663190832.0,265615213801.0,0.0,0,0,0,0.0,0,0,0
192400,2022,446314893140.0,130651017779.0,3556218500.0,3556218500.0,1411840712219.0,315663875361.0,0.0,0,0,0,0.0,0,0,0
192400,2023,488962801533.0,113593387319.0,3556218500.0,3556218500.0,1517041929101.0,375369414214.0,0.0,0,0,0,0.0,0,0,0
192400,2024,523018402472.0,112045495458.0,3556218500.0,3556218500.0,1619540718827.0,410972907014.0,0.0,0,0,0,0.0,0,0,0
192400,2025,505325259501.0,88102156319.0,3556218500.0,3556218500.0,1635673956528.0,417223103182.0,0.0,0,0,0,,0,0,0
098400,2019,292174091.0,12454181155.0,1999872400.0,1999872400.0,-70579470925.0,-12162007064.0,0.0,0,0,1,,0,0,0
005980,2016,53124286573.0,45937011119.0,48740820000.0,48740820000.0,-10874010135.0,7187275454.0,0.0,0,0,1,0.0,0,0,0
005980,2017,56644209055.0,50197796726.0,64563604500.0,64563604500.0,-20017680788.0,6446412329.0,0.0,0,0,1,60.0,0,0,1
005980,2018,44710815539.0,34695267721.0,71186530000.0,71186530000.0,-50298257306.0,10015547818.0,0.0,0,0,1,60.0,0,1,0
371950,2021,17924191129.0,31735715314.0,9020244000.0,9020244000.0,43060619.0,-13811524185.0,0.0,0,0,0,0.0,0,0,0
371950,2022,33965938832.0,23435364472.0,10520244000.0,10520244000.0,19520783770.0,10530574360.0,0.0,0,0,0,0.0,0,0,0
371950,2023,23194834340.0,30902970319.0,10520244000.0,10520244000.0,-2528167466.0,-7708135979.0,0.0,0,0,1,0.0,0,0,0
371950,2024,30511069235.0,52880008060.0,10520244000.0,10520244000.0,-32787204927.0,-22368938825.0,0.0,0,0,1,0.0,0,0,0
371950,2025,22863733541.0,69690840132.0,10520244000.0,10520244000.0,-46959665651.0,-46827106591.0,0.0,0,0,1,,0,0,0
065660,2016,25385399986.0,618698819.0,34023830569.0,,-5552912526.0,24766701167.0,,0,0,1,0.0,0,0,0
065660,2017,27791273522.0,6471378104.0,3976815500.0,3976815500.0,-4848880149.0,21319895418.0,0.0,0,0,1,0.0,0,0,0
065660,2018,59505339241.0,33421999059.0,4219875500.0,4219875500.0,-8028959719.0,26083340182.0,0.0,0,0,1,0.0,0,0,0
065660,2019,54118132525.0,14978250064.0,4478211000.0,4478211000.0,-12229981666.0,39139882461.0,0.0,0,0,1,0.0,0,0,0
065660,2020,54910595808.0,11689788539.0,4546767000.0,4546767000.0,-16451947214.0,43220807269.0,0.0,0,0,1,0.0,0,0,0
065660,2021,65364839117.0,13754829099.0,4710922500.0,4710922500.0,-520926799.0,51610010018.0,0.0,0,0,1,0.0,0,0,0
065660,2022,62449414128.0,15037067002.0,4865686500.0,4865686500.0,-5219131775.0,47412347126.0,0.0,0,0,1,0.0,0,0,0
065660,2023,56380300570.0,10758759428.0,4865686500.0,4865686500.0,-8159965514.0,45621541142.0,0.0,0,0,1,0.0,0,0,0
065660,2024,45075167110.0,1481726768.0,4865686500.0,4865686500.0,-10428994435.0,43593440342.0,0.0,0,0,1,0.0,0,0,0
065660,2025,48986183674.0,958441223.0,5003050000.0,5003050000.0,-11217881562.0,48027742451.0,0.0,0,0,1,,0,0,0
225330,2016,17178497571.0,19285220278.0,,,13811402118.0,-2106722707.0,,0,0,0,,0,0,0
225330,2017,13609525494.0,17076084501.0,9311384000.0,9311384000.0,14594228797.0,-3466559007.0,0.0,0,0,0,0.0,0,0,0
225330,2018,10722181150.0,41087837128.0,9476384000.0,9476384000.0,13408770935.0,-30365655978.0,0.0,0,0,0,0.0,0,0,0
225330,2019,12159519451.0,47652709463.0,9476384000.0,9476384000.0,7776714118.0,-35493190012.0,0.0,0,0,0,0.0,0,0,0
225330,2020,16206094840.0,42423961718.0,9476384000.0,9476384000.0,11601732106.0,-26217866878.0,0.0,0,0,0,0.0,0,0,1
225330,2021,24953054290.0,41744635004.0,9476384000.0,9476384000.0,12110201214.0,-16791580714.0,0.0,0,0,0,0.0,0,1,0
006200,2016,76337582574.0,54058870361.0,117346166919.0,,20603752630.0,22278712213.0,,0,0,0,0.0,0,0,0
006200,2017,186040600482.0,111394821099.0,23401568000.0,23401568000.0,6083261717.0,74645779383.0,0.0,0,0,0,0.0,0,0,0
006200,2018,173314506578.0,85506815001.0,23401568000.0,23401568000.0,4480888541.0,87807691577.0,0.0,0,0,0,0.0,0,0,0
006200,2019,161000721449.0,100390694684.0,23401568000.0,23401568000.0,-9031607114.0,60610026765.0,0.0,0,0,1,0.0,0,0,0
006200,2020,191252520971.0,95565685511.0,23401568000.0,23401568000.0,-13994345924.0,95686835460.0,0.0,0,0,1,0.0,0,0,0
006200,2021,230494244475.0,112706134841.0,23401568000.0,23401568000.0,8982721839.0,117788109634.0,0.0,0,0,0,0.0,0,0,0
006200,2022,203217100953.0,94444592137.0,23401568000.0,23401568000.0,43064019173.0,108772508816.0,0.0,0,0,0,0.0,0,0,0
006200,2023,249532285927.0,87099655370.0,23401568000.0,23401568000.0,37222721580.0,162432630557.0,0.0,0,0,0,0.0,0,0,0
006200,2024,265362583946.0,88638513497.0,23401568000.0,23401568000.0,40233156614.0,176724070449.0,0.0,0,0,0,0.0,0,0,0
006200,2025,250532520868.0,91697253058.0,23401568000.0,23401568000.0,41785702396.0,158835267810.0,0.0,0,0,0,,0,0,0
332710,2019,9392528844.0,3300000.0,441000000.0,441000000.0,-43125389.0,9389228844.0,0.0,0,0,1,0.0,0,0,0
332710,2020,9441943916.0,596640.0,441000000.0,441000000.0,-12028647.0,9441347276.0,0.0,0,0,1,0.0,0,0,0
332710,2021,9421899254.0,4102760.0,441000000.0,441000000.0,-45221108.0,9417796494.0,0.0,0,0,1,0.0,0,0,1
332710,2022,9446002645.0,1100000.0,441000000.0,441000000.0,-31520235.0,9444902645.0,0.0,0,0,1,,0,1,0
097870,2016,40891805350.0,10505271854.0,59703047225.0,,42324459447.0,30386533496.0,,0,0,0,0.0,0,0,0
097870,2017,35458487223.0,4593839194.0,59607048801.0,,46447117023.0,30864648029.0,,0,0,0,,0,0,0
097870,2018,34813679490.0,4314102257.0,4245000000.0,4245000000.0,48393028192.0,30499577233.0,0.0,0,0,0,0.0,0,0,0
097870,2019,36812994996.0,5071188258.0,4245000000.0,4245000000.0,50317324351.0,31741806738.0,0.0,0,0,0,0.0,0,0,0
097870,2020,39471517591.0,8730658025.0,4245000000.0,4245000000.0,51909799573.0,30740859566.0,0.0,0,0,0,0.0,0,0,0
097870,2021,43826383956.0,9934358147.0,4245000000.0,4245000000.0,53523840679.0,33892025809.0,0.0,0,0,0,0.0,0,0,0
097870,2022,34557862994.0,10197501948.0,4245000000.0,4245000000.0,57379000170.0,24360361046.0,0.0,0,0,0,0.0,0,0,0
097870,2023,32795384761.0,12865398991.0,4245000000.0,4245000000.0,57825534952.0,19929985770.0,0.0,0,0,0,0.0,0,0,0
097870,2024,57515161801.0,11927307242.0,4245000000.0,4245000000.0,62317274859.0,45587854559.0,0.0,0,0,0,0.0,0,0,0
097870,2025,48396056554.0,10843876239.0,4245000000.0,4245000000.0,65129707321.0,37552180315.0,0.0,0,0,0,0.0,0,0,0
110020,2018,6117768651.0,2709081344.0,2366714000.0,2366714000.0,-15629874154.0,3408687307.0,0.0,0,0,1,0.0,0,0,0
110020,2019,4532629472.0,656269660.0,2397964000.0,2397964000.0,-17311864017.0,3876359812.0,0.0,0,0,1,0.0,0,0,0
110020,2020,9986788300.0,7342838080.0,3021016500.0,3021016500.0,-20745512617.0,2643950220.0,0.0,0,0,1,0.0,0,0,0
110020,2021,16157878539.0,13979220162.0,3170684500.0,3170684500.0,-22871961193.0,2178658377.0,0.0,0,0,1,0.0,0,0,0
110020,2022,4698910296.0,7947088453.0,3420000000.0,3420000000.0,-25956946696.0,-3248178157.0,0.0,0,0,1,0.0,0,0,0
110020,2023,7766689019.0,11212759049.0,3741770500.0,3741770500.0,-32418653648.0,-3446070030.0,0.0,0,0,1,0.0,0,0,0
110020,2024,10144388988.0,1086171872.0,4529381000.0,4529381000.0,,9058217116.0,0.0,0,0,0,0.0,0,0,0
110020,2025,9123334971.0,881404984.0,4529381000.0,4529381000.0,-28370332956.0,8241929987.0,0.0,0,0,1,,0,0,0
